phrase,frequency,inDict
post factum,1.0820368147101491e-06,1
nomen nudum,1.0799275811532092e-06,1
ex opere operato,1.0757091140393296e-06,1
nolens volens,1.07149064692545e-06,1
ne bis in idem,1.0567260120268707e-06,0
quo vadis,1.054616778469931e-06,1
per caput,1.0419613771282915e-06,1
vel non,1.0356336764574722e-06,1
ars technica,1.008213640217254e-06,0
non obstante,1.0039951731033742e-06,1
res gestae,9.97667472432555e-07,1
lex scripta,9.78684370420096e-07,1
semper reformanda,9.723566697492765e-07,0
amor fati,9.660289690784567e-07,1
res cogitans,9.618105019645771e-07,1
primum non nocere,9.343904657243588e-07,1
sub silentio,9.301719986104792e-07,1
venia legendi,9.238442979396596e-07,0
et passim,9.238442979396596e-07,0
pro re nata,9.1751659726884e-07,1
ora et labora,9.02751962370261e-07,1
ex facie,8.985334952563812e-07,1
tempus fugit,8.964242616994413e-07,1
per incuriam,8.964242616994413e-07,0
ante mortem,8.900965610286217e-07,1
non plus ultra,8.837688603578022e-07,0
res extensa,8.816596268008623e-07,1
vide supra,8.753319261300427e-07,0
propria persona,8.753319261300427e-07,1
homo oeconomicus,8.71113459016163e-07,0
ex voto,8.71113459016163e-07,1
substantia gelatinosa,8.668949919022833e-07,1
in nomine,8.626765247884035e-07,1
in casu,8.605672912314637e-07,0
corpus juris,8.56348824117584e-07,1
cursus honorum,8.521303570037043e-07,1
terminus ante quem,8.521303570037043e-07,0
nihil obstat,8.500211234467643e-07,1
ultima ratio,8.458026563328846e-07,1
dulce et decorum est,8.415841892190049e-07,1
jus gentium,8.204918536496063e-07,1
petitio principii,8.078364523079671e-07,1
ad idem,8.057272187510273e-07,1
deo volente,8.057272187510273e-07,1
homo sacer,7.993995180802076e-07,0
opus est,7.993995180802076e-07,0
a minima,7.993995180802076e-07,0
textus receptus,7.972902845232678e-07,1
sensus communis,7.972902845232678e-07,1
ex more,7.972902845232678e-07,0
uti possidetis,7.951810509663279e-07,1
studium generale,7.951810509663279e-07,1
a contrario,7.867441167385685e-07,1
ignis fatuus,7.867441167385685e-07,1
ante meridiem,7.825256496246888e-07,1
terra nova,7.804164160677489e-07,1
in capite,7.740887153969293e-07,1
audi alteram partem,7.656517811691699e-07,1
homo faber,7.635425476122301e-07,1
post bellum,7.593240804983503e-07,1
pars pro toto,7.382317449289517e-07,1
ora pro nobis,7.361225113720118e-07,1
homo ludens,7.340132778150719e-07,0
in propria persona,7.340132778150719e-07,1
ex novo,7.319040442581321e-07,0
ratione personae,7.192486429164929e-07,0
in esse,7.150301758026132e-07,1
causa sui,7.129209422456734e-07,0
apparatus criticus,7.087024751317936e-07,1
aqua fortis,7.087024751317936e-07,1
factum est,7.044840080179139e-07,0
ad eundem,6.939378402332146e-07,1
mortis causa,6.918286066762747e-07,1
quod est,6.918286066762747e-07,0
malum in se,6.897193731193349e-07,1
post meridiem,6.897193731193349e-07,1
ex aequo et bono,6.855009060054552e-07,1
extra ecclesiam nulla salus,6.855009060054552e-07,0
in dubio,6.833916724485152e-07,1
ut supra,6.770639717776957e-07,1
culpa in contrahendo,6.749547382207559e-07,0
per accidens,6.686270375499362e-07,1
sub specie aeternitatis,6.644085704360565e-07,1
intra vires,6.601901033221768e-07,1
ex utero,6.517531690944174e-07,0
status quo ante bellum,6.454254684235977e-07,1
in perpetuum,6.390977677527782e-07,1
hortus conclusus,6.327700670819585e-07,1
ad usum,6.306608335250187e-07,1
tertium quid,6.285515999680789e-07,1
vena amoris,6.222238992972593e-07,0
homo habilis,6.201146657403194e-07,1
panem et circenses,6.1167773151256e-07,1
malum prohibitum,6.095684979556201e-07,1
via dolorosa,6.074592643986802e-07,1
de futuro,6.074592643986802e-07,0
ad vitam,6.053500308417404e-07,1
eo ipso,6.011315637278607e-07,1
locus in quo,5.926946295001012e-07,1
in octavo,5.926946295001012e-07,0
senatus consultum,5.905853959431613e-07,1
inter alios,5.884761623862215e-07,1
una voce,5.863669288292816e-07,1
nisi prius,5.821484617154019e-07,1
in abstracto,5.821484617154019e-07,1
in concreto,5.779299946015222e-07,1
suo jure,5.65274593259883e-07,1
vis major,5.631653597029431e-07,1
mens sana in corpore sano,5.610561261460033e-07,1
coitus interruptus,5.589468925890635e-07,1
hic et nunc,5.568376590321235e-07,1
vita brevis,5.547284254751837e-07,1
pro parte,5.547284254751837e-07,0
fons et origo,5.50509958361304e-07,1
ad fontes,5.420730241335445e-07,0
in aeternum,5.35745323462725e-07,1
ad referendum,5.35745323462725e-07,1
eo nomine,5.35745323462725e-07,1
ad honorem,5.273083892349655e-07,0
quasi in rem,5.230899221210858e-07,1
post scriptum,5.230899221210858e-07,1
mea maxima culpa,5.209806885641459e-07,0
illo tempore,5.167622214502661e-07,0
ad damnum,5.167622214502661e-07,1
ab ovo,5.062160536655669e-07,1
fac simile,5.04106820108627e-07,1
in rebus,5.04106820108627e-07,1
onus probandi,5.019975865516871e-07,1
in pectore,5.019975865516871e-07,1
in vino veritas,4.977791194378074e-07,1
divide et impera,4.977791194378074e-07,1
ius gentium,4.956698858808676e-07,0
intra muros,4.956698858808676e-07,1
omnium gatherum,4.935606523239277e-07,1
in posse,4.935606523239277e-07,1
ad rem,4.89342185210048e-07,1
ars nova,4.809052509822886e-07,1
restitutio in integrum,4.809052509822886e-07,1
ipsissima verba,4.809052509822886e-07,1
in spe,4.766867838684088e-07,0
per mensem,4.74577550311469e-07,1
jure uxoris,4.724683167545291e-07,1
schola cantorum,4.703590831975892e-07,1
in parvo,4.661406160837095e-07,1
in principio,4.640313825267696e-07,0
arcus senilis,4.619221489698298e-07,1
et sequens,4.619221489698298e-07,1
in praesenti,4.598129154128899e-07,1
felix culpa,4.598129154128899e-07,1
contra mundum,4.4715751407125074e-07,1
in foro,4.4715751407125074e-07,1
noli me tangere,4.450482805143109e-07,1
urbi et orbi,4.387205798434913e-07,1
primum mobile,4.28174412058792e-07,1
in partibus,4.260651785018521e-07,1
ex delicto,4.260651785018521e-07,1
in solidum,4.218467113879724e-07,1
sensus plenior,4.197374778310325e-07,0
ars moriendi,4.1762824427409277e-07,0
non est factum,4.1762824427409277e-07,1
papaver somniferum,4.155190107171528e-07,0
mare nostrum,4.1130054360327306e-07,1
ubi supra,4.1130054360327306e-07,1
causa mortis,4.070820764893934e-07,1
persona grata,4.007543758185738e-07,1
lex non scripta,4.007543758185738e-07,1
nomen est omen,3.965359087046941e-07,0
expressio unius est exclusio alterius,3.965359087046941e-07,1
musica sacra,3.944266751477542e-07,0
rebus sic stantibus,3.859897409199947e-07,1
quod erat demonstrandum,3.838805073630549e-07,1
aqua marina,3.796620402491752e-07,0
in actu,3.775528066922353e-07,0
dies irae,3.754435731352954e-07,1
ex lege,3.733343395783556e-07,1
in salvo,3.712251060214157e-07,0
porta romana,3.691158724644759e-07,0
lex loci delicti,3.564604711228367e-07,1
in dubio pro reo,3.5224200400895695e-07,0
in fieri,3.5224200400895695e-07,1
in infinitum,3.501327704520171e-07,0
nulla poena sine lege,3.501327704520171e-07,0
per impossibile,3.501327704520171e-07,1
res nullius,3.480235368950772e-07,1
vox humana,3.4591430333813735e-07,1
de bene esse,3.438050697811975e-07,1
de lege ferenda,3.438050697811975e-07,1
ex nihilo nihil fit,3.3958660266731775e-07,1
post coitum,3.37477369110378e-07,0
ante litteram,3.37477369110378e-07,0
ex contractu,3.37477369110378e-07,1
in saecula saeculorum,3.353681355534381e-07,1
in nuce,3.290404348826185e-07,1
de profundis,3.290404348826185e-07,1
ius cogens,3.248219677687388e-07,0
festina lente,3.248219677687388e-07,1
jus naturale,3.227127342117989e-07,1
crus cerebri,3.227127342117989e-07,0
multum in parvo,3.227127342117989e-07,1
status quaestionis,3.20603500654859e-07,0
ignoratio elenchi,3.20603500654859e-07,1
philosophiae doctor,3.20603500654859e-07,0
contra legem,3.20603500654859e-07,0
extra muros,3.163850335409793e-07,1
caput mortuum,3.1427579998403945e-07,1
volenti non fit injuria,3.121665664270996e-07,1
pater patriae,3.121665664270996e-07,1
ab urbe condita,3.100573328701597e-07,1
fiat lux,3.0583886575628e-07,1
esse est percipi,3.0583886575628e-07,1
fides quaerens intellectum,2.995111650854604e-07,0
non bis in idem,2.995111650854604e-07,0
mos maiorum,2.9529269797158065e-07,0
a latere,2.931834644146408e-07,1
pro et contra,2.9107423085770097e-07,0
opus dei,2.9107423085770097e-07,1
do ut des,2.889649973007611e-07,1
jus civile,2.889649973007611e-07,1
argumentum ad ignorantiam,2.889649973007611e-07,0
spiritus rector,2.8474653018688137e-07,0
felo de se,2.826372966299415e-07,1
caveat venditor,2.826372966299415e-07,0
stella maris,2.8052806307300164e-07,0
semper fidelis,2.7841882951606177e-07,1
requiescat in pace,2.7841882951606177e-07,1
liberum arbitrium,2.678726617313625e-07,0
non obstante veredicto,2.657634281744226e-07,1
bellum omnium contra omnes,2.657634281744226e-07,1
translatio imperii,2.636541946174828e-07,0
pax romana,2.59435727503603e-07,1
aqua pura,2.59435727503603e-07,1
in statu nascendi,2.573264939466632e-07,1
conditio humana,2.573264939466632e-07,0
advocatus diaboli,2.552172603897233e-07,1
ars longa,2.552172603897233e-07,1
contra bonos mores,2.552172603897233e-07,1
disjecta membra,2.531080268327834e-07,1
in transitu,2.531080268327834e-07,1
circus maximus,2.531080268327834e-07,0
ad finem,2.531080268327834e-07,0
ratio legis,2.509987932758436e-07,0
et vir,2.509987932758436e-07,1
ab extra,2.488895597189037e-07,1
agnus dei,2.488895597189037e-07,1
jus divinum,2.488895597189037e-07,1
in statu quo,2.488895597189037e-07,1
a mensa et thoro,2.467803261619638e-07,1
animal rationale,2.467803261619638e-07,0
ultima thule,2.467803261619638e-07,1
ex tunc,2.44671092605024e-07,0
rus in urbe,2.4256185904808414e-07,1
ex mero motu,2.4256185904808414e-07,1
terra australis,2.4256185904808414e-07,0
de plano,2.404526254911443e-07,1
tertium non datur,2.404526254911443e-07,0
novus ordo seclorum,2.3623415837726454e-07,1
communis opinio,2.341249248203247e-07,0
ecce homo,2.320156912633848e-07,1
ad mortem,2.320156912633848e-07,0
de minimis non curat lex,2.277972241495051e-07,1
oculus sinister,2.277972241495051e-07,0
non licet,2.277972241495051e-07,0
de gustibus non est disputandum,2.2568799059256526e-07,1
novum testamentum,2.2568799059256526e-07,0
doli incapax,2.2357875703562537e-07,1
ab origine,2.2357875703562537e-07,1
suum cuique,2.214695234786855e-07,1
nemine contradicente,2.1936028992174566e-07,1
opus anglicanum,2.1936028992174566e-07,1
in articulo mortis,2.1725105636480577e-07,1
sine nomine,2.1725105636480577e-07,0
cursus publicus,2.1725105636480577e-07,0
imperium in imperio,2.1725105636480577e-07,1
a tergo,2.1514182280786598e-07,1
oculus dexter,2.1514182280786598e-07,0
homo floresiensis,2.130325892509261e-07,0
lapsus linguae,2.130325892509261e-07,1
ab intra,2.130325892509261e-07,1
mater dolorosa,2.130325892509261e-07,1
risus sardonicus,2.130325892509261e-07,1
jure divino,2.109233556939862e-07,0
in illo tempore,2.0881412213704638e-07,0
proxima centauri,2.0881412213704638e-07,0
damnum absque injuria,2.045956550231666e-07,1
in haec verba,2.045956550231666e-07,0
pater noster,2.024864214662268e-07,1
de lege lata,2.003771879092869e-07,0
lusus naturae,2.003771879092869e-07,1
nullum crimen sine lege,1.9826795435234705e-07,0
sapere aude,1.9826795435234705e-07,1
citius altius fortius,1.940494872384673e-07,0
alis grave nil,1.940494872384673e-07,0
