phrase,appear times,frequency
credo ut intelligam,47,9.913397717617351e-08
anno regni,46,9.702474361923364e-08
via sacra,46,9.702474361923364e-08
domus aurea,46,9.702474361923364e-08
fumus boni iuris,46,9.702474361923364e-08
sic semper tyrannis,46,9.702474361923364e-08
sine prole,45,9.491551006229379e-08
miles gloriosus,45,9.491551006229379e-08
virgo intacta,45,9.491551006229379e-08
caritas in veritate,44,9.280627650535392e-08
cor ad cor loquitur,44,9.280627650535392e-08
ad multos annos,44,9.280627650535392e-08
extrema ratio,44,9.280627650535392e-08
ad absurdem,44,9.280627650535392e-08
qui bono,43,9.069704294841406e-08
jus primae noctis,43,9.069704294841406e-08
pluralis majestatis,43,9.069704294841406e-08
cacoethes scribendi,43,9.069704294841406e-08
in summa,43,9.069704294841406e-08
in dubiis libertas,42,8.85878093914742e-08
quod vide,42,8.85878093914742e-08
hic sunt dracones,42,8.85878093914742e-08
amor patriae,42,8.85878093914742e-08
lex domicilii,42,8.85878093914742e-08
ars amatoria,42,8.85878093914742e-08
ad astra per aspera,42,8.85878093914742e-08
mare clausum,42,8.85878093914742e-08
dolus specialis,41,8.647857583453434e-08
arcana imperii,41,8.647857583453434e-08
silva rerum,41,8.647857583453434e-08
secundum artem,41,8.647857583453434e-08
ne cede malis,41,8.647857583453434e-08
ad unum,40,8.436934227759448e-08
acta diurna,40,8.436934227759448e-08
vera natura,40,8.436934227759448e-08
ab intestato,40,8.436934227759448e-08
semper paratus,40,8.436934227759448e-08
in rerum natura,40,8.436934227759448e-08
rerum cognoscere causas,40,8.436934227759448e-08
laudator temporis acti,39,8.226010872065462e-08
de die in diem,39,8.226010872065462e-08
usque ad finem,39,8.226010872065462e-08
custos morum,39,8.226010872065462e-08
nemo judex in causa sua,39,8.226010872065462e-08
in gremio,39,8.226010872065462e-08
opus citatum,39,8.226010872065462e-08
ave atque vale,38,8.015087516371475e-08
hortus siccus,38,8.015087516371475e-08
sine loco,38,8.015087516371475e-08
lux aeterna,38,8.015087516371475e-08
per procurationem,38,8.015087516371475e-08
nil admirari,38,8.015087516371475e-08
flatus vocis,38,8.015087516371475e-08
a mari usque ad mare,38,8.015087516371475e-08
toto caelo,38,8.015087516371475e-08
salus populi suprema lex,37,7.80416416067749e-08
pecunia non olet,37,7.80416416067749e-08
iura novit curia,37,7.80416416067749e-08
per pedes,36,7.593240804983503e-08
fac totum,36,7.593240804983503e-08
semper eadem,36,7.593240804983503e-08
missa solemnis,36,7.593240804983503e-08
circulus vitiosus,36,7.593240804983503e-08
pro domo,36,7.593240804983503e-08
ad limina apostolorum,36,7.593240804983503e-08
cor unum,35,7.382317449289516e-08
ad lucem,35,7.382317449289516e-08
aude sapere,35,7.382317449289516e-08
ad clerum,35,7.382317449289516e-08
et hoc genus omne,34,7.171394093595531e-08
sub modo,34,7.171394093595531e-08
de rerum natura,34,7.171394093595531e-08
philosophia prima,34,7.171394093595531e-08
abusus non tollit usum,34,7.171394093595531e-08
hic jacet,34,7.171394093595531e-08
quantum sufficit,33,6.960470737901544e-08
totus tuus,33,6.960470737901544e-08
crescit eundo,33,6.960470737901544e-08
brevi manu,33,6.960470737901544e-08
oratio obliqua,33,6.960470737901544e-08
locus minoris resistentiae,32,6.749547382207558e-08
per ardua ad astra,32,6.749547382207558e-08
ad patres,32,6.749547382207558e-08
habemus papam,32,6.749547382207558e-08
fiat voluntas tua,32,6.749547382207558e-08
punctum saliens,32,6.749547382207558e-08
locus poenitentiae,32,6.749547382207558e-08
oratio recta,31,6.538624026513572e-08
rerum novarum,31,6.538624026513572e-08
alea jacta est,31,6.538624026513572e-08
mobile vulgus,31,6.538624026513572e-08
in effigie,30,6.327700670819586e-08
auri sacra fames,30,6.327700670819586e-08
a minore,30,6.327700670819586e-08
ius primae noctis,30,6.327700670819586e-08
in nubibus,30,6.327700670819586e-08
jus in re,29,6.1167773151256e-08
vexata quaestio,29,6.1167773151256e-08
de dato,29,6.1167773151256e-08
adaequatio rei et intellectus,29,6.1167773151256e-08
si monumentum requiris circumspice,29,6.1167773151256e-08
audentes fortuna juvat,29,6.1167773151256e-08
suum cuique tribuere,28,5.9058539594316136e-08
ita est,28,5.9058539594316136e-08
coram publico,28,5.9058539594316136e-08
lux et veritas,28,5.9058539594316136e-08
sic et non,28,5.9058539594316136e-08
annuit coeptis,28,5.9058539594316136e-08
hoc loco,28,5.9058539594316136e-08
inter nos,28,5.9058539594316136e-08
lux mundi,28,5.9058539594316136e-08
in distans,27,5.694930603737627e-08
de gratia,27,5.694930603737627e-08
ne varietur,27,5.694930603737627e-08
oderint dum metuant,27,5.694930603737627e-08
hypotheses non fingo,27,5.694930603737627e-08
de mortuis nil nisi bonum,27,5.694930603737627e-08
fidei defensor,27,5.694930603737627e-08
respice finem,27,5.694930603737627e-08
per procura,27,5.694930603737627e-08
post tenebras lux,27,5.694930603737627e-08
salve regina,26,5.484007248043641e-08
index nominum,26,5.484007248043641e-08
in facie curiae,26,5.484007248043641e-08
pro memoria,26,5.484007248043641e-08
post mortem auctoris,26,5.484007248043641e-08
ad eundem gradum,25,5.273083892349655e-08
vinculum juris,25,5.273083892349655e-08
arbiter elegantiae,25,5.273083892349655e-08
bellum iustum,25,5.273083892349655e-08
aqua mirabilis,25,5.273083892349655e-08
corruptio optimi pessima,25,5.273083892349655e-08
dulce et utile,25,5.273083892349655e-08
ab epistulis,25,5.273083892349655e-08
sancta simplicitas,24,5.062160536655669e-08
affectio societatis,24,5.062160536655669e-08
verbum caro factum est,24,5.062160536655669e-08
ore rotundo,24,5.062160536655669e-08
secessio plebis,24,5.062160536655669e-08
nemo iudex in causa sua,24,5.062160536655669e-08
index rerum,24,5.062160536655669e-08
pollice verso,24,5.062160536655669e-08
opus latericium,24,5.062160536655669e-08
cui prodest,24,5.062160536655669e-08
aurea mediocritas,24,5.062160536655669e-08
dura lex sed lex,24,5.062160536655669e-08
semper maior,23,4.851237180961682e-08
ut sit finis litium,23,4.851237180961682e-08
fides quae creditur,23,4.851237180961682e-08
animus furandi,23,4.851237180961682e-08
ad oculos,23,4.851237180961682e-08
solus ipse,23,4.851237180961682e-08
ad usum delphini,23,4.851237180961682e-08
lux in tenebris lucet,23,4.851237180961682e-08
verbum dei,23,4.851237180961682e-08
cepi corpus,23,4.851237180961682e-08
utile dulci,23,4.851237180961682e-08
artium baccalaureus,23,4.851237180961682e-08
cur deus homo,22,4.640313825267696e-08
in omnibus caritas,22,4.640313825267696e-08
ex abundanti cautela,22,4.640313825267696e-08
ignorantia legis neminem excusat,22,4.640313825267696e-08
trustee ex maleficio,22,4.640313825267696e-08
homo antecessor,22,4.640313825267696e-08
salvator mundi,22,4.640313825267696e-08
concordia discors,22,4.640313825267696e-08
extra moenia,22,4.640313825267696e-08
magis amica veritas,22,4.640313825267696e-08
anno hegirae,22,4.640313825267696e-08
nunc est bibendum,21,4.42939046957371e-08
in pleno,21,4.42939046957371e-08
et tu brute,21,4.42939046957371e-08
per capsulam,21,4.42939046957371e-08
in dulci jubilo,21,4.42939046957371e-08
tempora mutantur,21,4.42939046957371e-08
desipere in loco,21,4.42939046957371e-08
re vera,21,4.42939046957371e-08
ne quid nimis,21,4.42939046957371e-08
obscurum per obscurius,21,4.42939046957371e-08
age quod agis,21,4.42939046957371e-08
tuum est,21,4.42939046957371e-08
memento vivere,20,4.218467113879724e-08
ab inconvenienti,20,4.218467113879724e-08
natura non facit saltum,20,4.218467113879724e-08
consummatum est,20,4.218467113879724e-08
vox clamantis in deserto,20,4.218467113879724e-08
ver sacrum,20,4.218467113879724e-08
locus sigilli,20,4.218467113879724e-08
pax vobiscum,20,4.218467113879724e-08
ter in die,20,4.218467113879724e-08
pallida mors,20,4.218467113879724e-08
circulus in probando,20,4.218467113879724e-08
in posterum,19,4.0075437581857375e-08
sic passim,19,4.0075437581857375e-08
lex loci actus,19,4.0075437581857375e-08
ut prosim,19,4.0075437581857375e-08
sapienti sat,19,4.0075437581857375e-08
summum jus,19,4.0075437581857375e-08
liquor cerebrospinalis,19,4.0075437581857375e-08
ex juvantibus,19,4.0075437581857375e-08
homo sum,19,4.0075437581857375e-08
fides qua creditur,19,4.0075437581857375e-08
manu propria,19,4.0075437581857375e-08
legalis homo,19,4.0075437581857375e-08
ad undas,18,3.7966204024917515e-08
in omnia paratus,18,3.7966204024917515e-08
nulli secundus,18,3.7966204024917515e-08
via appia,18,3.7966204024917515e-08
ad meliora,18,3.7966204024917515e-08
urbs in horto,18,3.7966204024917515e-08
probatum est,18,3.7966204024917515e-08
de omnibus dubitandum,17,3.5856970467977655e-08
fluctuat nec mergitur,17,3.5856970467977655e-08
lex loci celebrationis,17,3.5856970467977655e-08
deus otiosus,17,3.5856970467977655e-08
ex abrupto,17,3.5856970467977655e-08
jus utendi,17,3.5856970467977655e-08
opere citato,17,3.5856970467977655e-08
decus et tutamen,17,3.5856970467977655e-08
ante cibum,17,3.5856970467977655e-08
per fas et nefas,17,3.5856970467977655e-08
sunt lacrimae rerum,17,3.5856970467977655e-08
semper idem,17,3.5856970467977655e-08
fugit irreparabile tempus,17,3.5856970467977655e-08
odi et amo,17,3.5856970467977655e-08
ad arma,16,3.374773691103779e-08
ego te absolvo,16,3.374773691103779e-08
quid agis,16,3.374773691103779e-08
non prosequitur,16,3.374773691103779e-08
dei gratia regina,16,3.374773691103779e-08
nemo me impune lacessit,16,3.374773691103779e-08
labor omnia vincit,16,3.374773691103779e-08
repetitio est mater studiorum,16,3.374773691103779e-08
coram populo,16,3.374773691103779e-08
deo gratias,16,3.374773691103779e-08
sic itur ad astra,16,3.374773691103779e-08
civis romanus sum,16,3.374773691103779e-08
gloria in excelsis deo,16,3.374773691103779e-08
ignotum per ignotius,16,3.374773691103779e-08
lumen naturale,16,3.374773691103779e-08
quieta non movere,16,3.374773691103779e-08
discordia concors,16,3.374773691103779e-08
temet nosce,16,3.374773691103779e-08
nomen nescio,16,3.374773691103779e-08
de bonis asportatis,15,3.163850335409793e-08
et sequentes,15,3.163850335409793e-08
gaudium et spes,15,3.163850335409793e-08
laus deo,15,3.163850335409793e-08
licentia poetica,15,3.163850335409793e-08
in medio stat virtus,15,3.163850335409793e-08
pia fraus,15,3.163850335409793e-08
artium magister,15,3.163850335409793e-08
magna mater,15,3.163850335409793e-08
ad maiorem dei gloriam,15,3.163850335409793e-08
artibus et historiae,15,3.163850335409793e-08
ab absurdo,15,3.163850335409793e-08
animus donandi,15,3.163850335409793e-08
ne temere,15,3.163850335409793e-08
et in arcadia ego,15,3.163850335409793e-08
jus in rem,15,3.163850335409793e-08
nihil interit,15,3.163850335409793e-08
post obitum,15,3.163850335409793e-08
de revolutionibus,15,3.163850335409793e-08
alterum non laedere,15,3.163850335409793e-08
quasi ex contractu,15,3.163850335409793e-08
disce aut discede,15,3.163850335409793e-08
contra pacem,15,3.163850335409793e-08
bona fortuna,15,3.163850335409793e-08
rectus in curia,14,2.9529269797158068e-08
corpus vile,14,2.9529269797158068e-08
pax et bonum,14,2.9529269797158068e-08
esto perpetua,14,2.9529269797158068e-08
hic sunt leones,14,2.9529269797158068e-08
ab ovo usque ad mala,14,2.9529269797158068e-08
varia lectio,14,2.9529269797158068e-08
promotor fidei,14,2.9529269797158068e-08
pro aris et focis,14,2.9529269797158068e-08
in cauda venenum,14,2.9529269797158068e-08
exeunt omnes,14,2.9529269797158068e-08
lex loci solutionis,14,2.9529269797158068e-08
filius nullius,14,2.9529269797158068e-08
absit omen,14,2.9529269797158068e-08
opus tesselatum,14,2.9529269797158068e-08
cura te ipsum,14,2.9529269797158068e-08
cadit quaestio,14,2.9529269797158068e-08
modus agendi,13,2.7420036240218205e-08
desiderantes meliorem patriam,13,2.7420036240218205e-08
semper vigilans,13,2.7420036240218205e-08
solus christus,13,2.7420036240218205e-08
idem quod,13,2.7420036240218205e-08
homo mensura,13,2.7420036240218205e-08
sine tempore,13,2.7420036240218205e-08
litterae humaniores,13,2.7420036240218205e-08
in foro conscientiae,13,2.7420036240218205e-08
de integro,13,2.7420036240218205e-08
capax dei,13,2.7420036240218205e-08
vincit qui se vincit,13,2.7420036240218205e-08
iuris tantum,13,2.7420036240218205e-08
pleno jure,13,2.7420036240218205e-08
mundus vult decipi,13,2.7420036240218205e-08
in nomine domini,13,2.7420036240218205e-08
durante bene placito,13,2.7420036240218205e-08
sesquipedalia verba,13,2.7420036240218205e-08
juris tantum,12,2.5310802683278345e-08
delectatio morosa,12,2.5310802683278345e-08
nemine dissentiente,12,2.5310802683278345e-08
regium donum,12,2.5310802683278345e-08
communibus annis,12,2.5310802683278345e-08
ab antiquo,12,2.5310802683278345e-08
me judice,12,2.5310802683278345e-08
etsi deus non daretur,12,2.5310802683278345e-08
radix malorum est cupiditas,12,2.5310802683278345e-08
anno urbis conditae,12,2.5310802683278345e-08
modus procedendi,12,2.5310802683278345e-08
timor mortis conturbat me,12,2.5310802683278345e-08
in fidem,12,2.5310802683278345e-08
vis legis,12,2.5310802683278345e-08
habent sua fata libelli,12,2.5310802683278345e-08
video et taceo,12,2.5310802683278345e-08
agere sequitur,12,2.5310802683278345e-08
forum romanum,12,2.5310802683278345e-08
dictum meum pactum,12,2.5310802683278345e-08
in flore,11,2.320156912633848e-08
in naturalibus,11,2.320156912633848e-08
bona notabilia,11,2.320156912633848e-08
horresco referens,11,2.320156912633848e-08
sine metu,11,2.320156912633848e-08
ad abundantiam,11,2.320156912633848e-08
tempus vernum,11,2.320156912633848e-08
ars artium,11,2.320156912633848e-08
luctor et emergo,11,2.320156912633848e-08
ex injuria jus non oritur,11,2.320156912633848e-08
ut omnes unum sint,11,2.320156912633848e-08
jus accrescendi,11,2.320156912633848e-08
mirabile visu,11,2.320156912633848e-08
jus naturae,11,2.320156912633848e-08
pax christi,11,2.320156912633848e-08
ex dolo malo,11,2.320156912633848e-08
reductio ad hitlerum,11,2.320156912633848e-08
opus operantis,11,2.320156912633848e-08
corpus juris civilis,11,2.320156912633848e-08
de civitate dei,11,2.320156912633848e-08
jus postliminii,11,2.320156912633848e-08
jus inter gentes,11,2.320156912633848e-08
docendo discimus,11,2.320156912633848e-08
ex oriente lux,11,2.320156912633848e-08
quam diu,11,2.320156912633848e-08
cupio dissolvi,10,2.109233556939862e-08
gloria patri,10,2.109233556939862e-08
veritas in caritate,10,2.109233556939862e-08
gaudeamus igitur,10,2.109233556939862e-08
et lux in tenebris lucet,10,2.109233556939862e-08
castigat ridendo mores,10,2.109233556939862e-08
opus musivum,10,2.109233556939862e-08
rorate coeli,10,2.109233556939862e-08
finis coronat opus,10,2.109233556939862e-08
decessit sine prole,10,2.109233556939862e-08
ens causa sui,10,2.109233556939862e-08
pax tecum,10,2.109233556939862e-08
natale solum,10,2.109233556939862e-08
beati possidentes,10,2.109233556939862e-08
ratione soli,10,2.109233556939862e-08
sit venia verbo,10,2.109233556939862e-08
non vi sed saepe cadendo,10,2.109233556939862e-08
ad unguem,10,2.109233556939862e-08
sub divo,10,2.109233556939862e-08
fortes in fide,10,2.109233556939862e-08
gradatim ferociter,10,2.109233556939862e-08
historia magistra vitae,10,2.109233556939862e-08
in utroque jure,10,2.109233556939862e-08
nulla dies sine linea,10,2.109233556939862e-08
acta non verba,10,2.109233556939862e-08
combinatio nova,10,2.109233556939862e-08
quasi modo geniti,10,2.109233556939862e-08
summa potestas,9,1.8983102012458758e-08
ut infra,9,1.8983102012458758e-08
commune bonum,9,1.8983102012458758e-08
poeta laureatus,9,1.8983102012458758e-08
magnum bonum,9,1.8983102012458758e-08
de te fabula narratur,9,1.8983102012458758e-08
leges sine moribus vanae,9,1.8983102012458758e-08
vox nihili,9,1.8983102012458758e-08
de oppresso liber,9,1.8983102012458758e-08
ratum et consummatum,9,1.8983102012458758e-08
animal sociale,9,1.8983102012458758e-08
acta sanctorum,9,1.8983102012458758e-08
nihil sub sole novum,9,1.8983102012458758e-08
est modus in rebus,9,1.8983102012458758e-08
aequo animo,9,1.8983102012458758e-08
ab imo pectore,9,1.8983102012458758e-08
nemo propheta in patria,9,1.8983102012458758e-08
quid nunc,9,1.8983102012458758e-08
obsta principiis,9,1.8983102012458758e-08
nihil ad rem,9,1.8983102012458758e-08
congregatio de propaganda fide,9,1.8983102012458758e-08
quater in die,9,1.8983102012458758e-08
aes alienum,9,1.8983102012458758e-08
biblia pauperum,9,1.8983102012458758e-08
experto crede,9,1.8983102012458758e-08
splendide mendax,9,1.8983102012458758e-08
hoc age,9,1.8983102012458758e-08
qui tacet consentire videtur,9,1.8983102012458758e-08
ad arbitrium,8,1.6873868455518894e-08
dies non juridicus,8,1.6873868455518894e-08
verbum domini,8,1.6873868455518894e-08
tabula gratulatoria,8,1.6873868455518894e-08
ira deorum,8,1.6873868455518894e-08
veritas vincit,8,1.6873868455518894e-08
alis volat propriis,8,1.6873868455518894e-08
durante munere,8,1.6873868455518894e-08
manus dei,8,1.6873868455518894e-08
genus irritabile vatum,8,1.6873868455518894e-08
per angusta ad augusta,8,1.6873868455518894e-08
lex loci rei sitae,8,1.6873868455518894e-08
ad fundum,8,1.6873868455518894e-08
dum vivimus vivamus,8,1.6873868455518894e-08
helluo librorum,8,1.6873868455518894e-08
mens agitat molem,8,1.6873868455518894e-08
quid novi,8,1.6873868455518894e-08
visio dei,8,1.6873868455518894e-08
ex ungue leonem,8,1.6873868455518894e-08
quod computet,8,1.6873868455518894e-08
quaque hora,8,1.6873868455518894e-08
quot homines tot sententiae,8,1.6873868455518894e-08
a capite ad calcem,8,1.6873868455518894e-08
ad perpetuam rei memoriam,7,1.4764634898579034e-08
principiis obsta,7,1.4764634898579034e-08
dominus vobiscum,7,1.4764634898579034e-08
tentanda via,7,1.4764634898579034e-08
mutato nomine,7,1.4764634898579034e-08
sedes apostolica,7,1.4764634898579034e-08
cedant arma togae,7,1.4764634898579034e-08
jus honorarium,7,1.4764634898579034e-08
paucis verbis,7,1.4764634898579034e-08
in pontificalibus,7,1.4764634898579034e-08
anno aetatis suae,7,1.4764634898579034e-08
veritas odium parit,7,1.4764634898579034e-08
ubi solitudinem faciunt pacem appellant,7,1.4764634898579034e-08
aut vincere aut mori,7,1.4764634898579034e-08
ad captandum vulgus,7,1.4764634898579034e-08
capax imperii nisi imperasset,7,1.4764634898579034e-08
sustine et abstine,7,1.4764634898579034e-08
abyssus abyssum invocat,7,1.4764634898579034e-08
ultima forsan,7,1.4764634898579034e-08
votum separatum,7,1.4764634898579034e-08
renovatio urbis,7,1.4764634898579034e-08
inter arma enim silent leges,7,1.4764634898579034e-08
lapsus memoriae,7,1.4764634898579034e-08
de omni re scibili,7,1.4764634898579034e-08
reductio ad infinitum,7,1.4764634898579034e-08
simplex sigillum veri,7,1.4764634898579034e-08
in puris naturalibus,7,1.4764634898579034e-08
aliquid stat pro aliquo,7,1.4764634898579034e-08
per aes et libram,7,1.4764634898579034e-08
volenti non fit iniuria,7,1.4764634898579034e-08
quod scripsi scripsi,7,1.4764634898579034e-08
vivat rex,7,1.4764634898579034e-08
talis qualis,7,1.4764634898579034e-08
de minimis non curat praetor,7,1.4764634898579034e-08
gutta cavat lapidem,6,1.2655401341639172e-08
divinum officium,6,1.2655401341639172e-08
videre licet,6,1.2655401341639172e-08
jus abutendi,6,1.2655401341639172e-08
naturalis historia,6,1.2655401341639172e-08
fugit hora,6,1.2655401341639172e-08
ab irato,6,1.2655401341639172e-08
ultimo mense,6,1.2655401341639172e-08
a posse ad esse,6,1.2655401341639172e-08
nec temere nec timide,6,1.2655401341639172e-08
sine anno,6,1.2655401341639172e-08
flagellum dei,6,1.2655401341639172e-08
sub finem,6,1.2655401341639172e-08
experientia docet,6,1.2655401341639172e-08
in hunc effectum,6,1.2655401341639172e-08
verbi gratia,6,1.2655401341639172e-08
aqua destillata,6,1.2655401341639172e-08
audaces fortuna iuvat,6,1.2655401341639172e-08
semper ardens,6,1.2655401341639172e-08
vincit qui patitur,6,1.2655401341639172e-08
tuitio fidei et obsequium pauperum,6,1.2655401341639172e-08
caput inter nubila,6,1.2655401341639172e-08
pro nunc,6,1.2655401341639172e-08
vincit omnia veritas,6,1.2655401341639172e-08
draco dormiens nunquam titillandus,6,1.2655401341639172e-08
spectemur agendo,6,1.2655401341639172e-08
a minore ad maius,6,1.2655401341639172e-08
ad victoriam,6,1.2655401341639172e-08
dies ater,6,1.2655401341639172e-08
tempus edax rerum,6,1.2655401341639172e-08
non scholae sed vitae discimus,6,1.2655401341639172e-08
cuique suum,6,1.2655401341639172e-08
pro opportunitate,6,1.2655401341639172e-08
de dolo,6,1.2655401341639172e-08
beatae memoriae,6,1.2655401341639172e-08
de bello gallico,6,1.2655401341639172e-08
et facta est lux,6,1.2655401341639172e-08
repetita iuvant,6,1.2655401341639172e-08
jus fruendi,6,1.2655401341639172e-08
nihil novi sub sole,5,1.054616778469931e-08
pater historiae,5,1.054616778469931e-08
annus terribilis,5,1.054616778469931e-08
lupus in fabula,5,1.054616778469931e-08
obtorto collo,5,1.054616778469931e-08
redde rationem,5,1.054616778469931e-08
fervet opus,5,1.054616778469931e-08
canis canem edit,5,1.054616778469931e-08
ad vitam aut culpam,5,1.054616778469931e-08
mox nox,5,1.054616778469931e-08
lux libertas,5,1.054616778469931e-08
gens una sumus,5,1.054616778469931e-08
in totidem verbis,5,1.054616778469931e-08
absit invidia,5,1.054616778469931e-08
veritas vos liberabit,5,1.054616778469931e-08
splendor sine occasu,5,1.054616778469931e-08
aegri somnia,5,1.054616778469931e-08
utraque unum,5,1.054616778469931e-08
vade retro satana,5,1.054616778469931e-08
nec pluribus impar,5,1.054616778469931e-08
vires in numeris,5,1.054616778469931e-08
in pace requiescat,5,1.054616778469931e-08
corruptus in extremis,5,1.054616778469931e-08
rem acu tetigisti,5,1.054616778469931e-08
hora somni,5,1.054616778469931e-08
non omnis moriar,5,1.054616778469931e-08
quid est veritas,5,1.054616778469931e-08
doli capax,5,1.054616778469931e-08
fac et spera,5,1.054616778469931e-08
nuda veritas,5,1.054616778469931e-08
per pares,5,1.054616778469931e-08
alieni juris,5,1.054616778469931e-08
index librorum prohibitorum,5,1.054616778469931e-08
ars celare artem,5,1.054616778469931e-08
pace tua,5,1.054616778469931e-08
calix meus inebrians,5,1.054616778469931e-08
jus relictae,5,1.054616778469931e-08
latet anguis in herba,5,1.054616778469931e-08
ductus exemplo,5,1.054616778469931e-08
te deum laudamus,5,1.054616778469931e-08
vita patris,5,1.054616778469931e-08
jure matris,5,1.054616778469931e-08
quinque voces,5,1.054616778469931e-08
hoc erat in votis,5,1.054616778469931e-08
gens togata,5,1.054616778469931e-08
aut disce aut discede,5,1.054616778469931e-08
pia desideria,4,8.436934227759447e-09
ita vero,4,8.436934227759447e-09
quocunque jeceris stabit,4,8.436934227759447e-09
locus desperatus,4,8.436934227759447e-09
semper apertus,4,8.436934227759447e-09
ecce signum,4,8.436934227759447e-09
opera operata,4,8.436934227759447e-09
amicus certus in re incerta,4,8.436934227759447e-09
vires acquirit eundo,4,8.436934227759447e-09
durante vita,4,8.436934227759447e-09
dulcius ex asperis,4,8.436934227759447e-09
rituale romanum,4,8.436934227759447e-09
amat victoria curam,4,8.436934227759447e-09
stante pede,4,8.436934227759447e-09
vive ut vivas,4,8.436934227759447e-09
viriliter agite,4,8.436934227759447e-09
vivat crescat floreat,4,8.436934227759447e-09
acta est fabula,4,8.436934227759447e-09
dei gratia rex,4,8.436934227759447e-09
hinc illae lacrimae,4,8.436934227759447e-09
veritate et caritate,4,8.436934227759447e-09
corpus juris canonici,4,8.436934227759447e-09
veritas liberabit vos,4,8.436934227759447e-09
jure humano,4,8.436934227759447e-09
facio ut des,4,8.436934227759447e-09
viriliter age,4,8.436934227759447e-09
canes pugnaces,4,8.436934227759447e-09
arare litus,4,8.436934227759447e-09
hic habitat felicitas,4,8.436934227759447e-09
humilitas occidit superbiam,4,8.436934227759447e-09
esto quod es,4,8.436934227759447e-09
dulce bellum inexpertis,4,8.436934227759447e-09
per mare per terram,4,8.436934227759447e-09
reformatio in pejus,4,8.436934227759447e-09
de fideli,4,8.436934227759447e-09
more majorum,4,8.436934227759447e-09
absente reo,4,8.436934227759447e-09
sit tibi terra levis,4,8.436934227759447e-09
tria juncta in uno,4,8.436934227759447e-09
beati pauperes spiritu,4,8.436934227759447e-09
ex supra,4,8.436934227759447e-09
sidereus nuncius,4,8.436934227759447e-09
vitam impendere vero,4,8.436934227759447e-09
contraria contrariis curantur,4,8.436934227759447e-09
felix qui potuit rerum cognoscere causas,4,8.436934227759447e-09
audere est facere,4,8.436934227759447e-09
pictor ignotus,4,8.436934227759447e-09
ab uno disce omnes,4,8.436934227759447e-09
exceptis excipiendis,4,8.436934227759447e-09
longo intervallo,4,8.436934227759447e-09
abundans cautela non nocet,4,8.436934227759447e-09
dulce est desipere in loco,4,8.436934227759447e-09
regressus ad uterum,4,8.436934227759447e-09
nuper rosarum flores,4,8.436934227759447e-09
navigare necesse est,4,8.436934227759447e-09
semper fortis,4,8.436934227759447e-09
jus proprietatis,4,8.436934227759447e-09
palmam qui meruit ferat,4,8.436934227759447e-09
sub tuum praesidium,4,8.436934227759447e-09
amare et sapere vix deo conceditur,3,6.327700670819586e-09
bella gerant alii,3,6.327700670819586e-09
spiritus ubi vult spirat,3,6.327700670819586e-09
scientia vincere tenebras,3,6.327700670819586e-09
qui bene cantat bis orat,3,6.327700670819586e-09
ex curia,3,6.327700670819586e-09
deo optimo maximo,3,6.327700670819586e-09
verbatim et litteratim,3,6.327700670819586e-09
exegi monumentum aere perennius,3,6.327700670819586e-09
ab incunabulis,3,6.327700670819586e-09
quae vide,3,6.327700670819586e-09
hora fugit,3,6.327700670819586e-09
auribus teneo lupum,3,6.327700670819586e-09
vita ante acta,3,6.327700670819586e-09
a verbis ad verbera,3,6.327700670819586e-09
carpe vinum,3,6.327700670819586e-09
ad calendas graecas,3,6.327700670819586e-09
ad pedem litterae,3,6.327700670819586e-09
tusculanae disputationes,3,6.327700670819586e-09
sum quod eris,3,6.327700670819586e-09
corvus oculum corvi non eruit,3,6.327700670819586e-09
semper invicta,3,6.327700670819586e-09
in pari causa,3,6.327700670819586e-09
bellum se ipsum alet,3,6.327700670819586e-09
aut pax aut bellum,3,6.327700670819586e-09
in varietate concordia,3,6.327700670819586e-09
dictum sapienti sat,3,6.327700670819586e-09
cui in vita,3,6.327700670819586e-09
ut cognoscant te,3,6.327700670819586e-09
hic et ubique,3,6.327700670819586e-09
fama volat,3,6.327700670819586e-09
in spiritu et veritate,3,6.327700670819586e-09
integer vitae scelerisque purus,3,6.327700670819586e-09
amicus humani generis,3,6.327700670819586e-09
uno flatu,3,6.327700670819586e-09
necessitas non habet legem,3,6.327700670819586e-09
margaritas ante porcos,3,6.327700670819586e-09
sub umbra floreo,3,6.327700670819586e-09
vivere est cogitare,3,6.327700670819586e-09
nihil ex nihilo,3,6.327700670819586e-09
diem perdidi,3,6.327700670819586e-09
a maiore ad minus,3,6.327700670819586e-09
a caelo usque ad centrum,3,6.327700670819586e-09
virtus unita fortior,3,6.327700670819586e-09
ius est ars boni et aequi,3,6.327700670819586e-09
amor platonicus,3,6.327700670819586e-09
ab hinc,3,6.327700670819586e-09
sic parvis magna,3,6.327700670819586e-09
gaudeamus hodie,3,6.327700670819586e-09
velut arbor aevo,3,6.327700670819586e-09
mens sibi conscia recti,3,6.327700670819586e-09
amor dei intellectualis,3,6.327700670819586e-09
per ardua ad alta,3,6.327700670819586e-09
jus in personam,3,6.327700670819586e-09
vero nihil verius,3,6.327700670819586e-09
remedia amoris,3,6.327700670819586e-09
vox sanguinis,3,6.327700670819586e-09
post nubila phoebus,3,6.327700670819586e-09
jus ecclesiasticum,3,6.327700670819586e-09
e causa ignota,3,6.327700670819586e-09
vive memor leti,3,6.327700670819586e-09
quod erat faciendum,3,6.327700670819586e-09
